,neg,neu,pos,compound
i have the asus tuff 3070 and the auros 3060 and either one is great but 1440p monster is the 3070 i won the 3060 and bought a prebuilt for the 3070 and then changed everything about it and i love it and the 490z msi,0.0,0.744,0.256,0.9371
didnt nvidia say that the 3070 was going to be either on par or slightly better than the 2080 ti wonder why its slightly worse i know its only slightly but false advertising is still false advertising there was like 2ish games where the 3070 might have won but the oc on the 2080 ti just over did xd,0.027,0.755,0.218,0.9371
honestly i would get the 3070 for mainly 1440p or super good 1080p and maybe even light 4k on modern warfare fortnite like i ve seen it and i think it s a good card even tho it s pretty expensive but if you have the chance to get it msrp honestly i d do it,0.027,0.658,0.315,0.9337
i want one but not at triple the price i can almost afford retail price 3090s right now but never going to get one would love a 3080ti but they will sell out before theyre even fully listed love the 30 series launch,0.0,0.744,0.256,0.9294
so if i were to game at 4k with this card should i go for a highend high refresh rate monitor or just say fuck it and go for 4k 60hz personally i play aaa titles and shootersracers but not competitively i m more of a tryhard casual that also likes pretty looking games lol edit,0.037,0.702,0.261,0.9293
so dont waste your money but in future titles the 8gb of ram will be pretty limiting in 4k even in a few months we will see games that will uses more than 8gb in 4k so definitly a good card for 1440p but for 4k not in the long run appart from that just discovered the channel and i like it one new sub,0.0,0.81,0.19,0.9277
i wish it had g6x but yea its still quite good for its price d i would recommend it for my friends who have old 980 tis though by showing them this video,0.0,0.658,0.342,0.9265
oh wow this looks like a pretty good deal scalpers allow us to introduce ourselves,0.0,0.386,0.614,0.9231
great content and conclusion love my 2070 super at 1440p maybe another year of aaa rtxon will see if new consoles up game engines,0.0,0.633,0.367,0.9217
thanks for the awesome review again gn congratulations on 1m,0.0,0.314,0.686,0.9201
from rtx2060 ryzen 5 2600 then upgraded to 3070 and a year later which is last week upgraded my cpu to 13600k with z790 board i m super happy with my rig now 180200fps in warzone 2 1080p lownormal settings 250300fps apex low settings temp is quite disappointing but it s not the worst with 75c at 99100 usage overall love my 3070 planning to skip 40 series and gonna buy 50 series,0.063,0.749,0.188,0.9185
from these numbers it would seem in the best case scenario it is marginally faster than a 2080ti and in those instances by a negligible margin in a few cases its closer to a 2080s than a 2080ti good value regardless but surely misleading by nvidia to say faster than a 2080ti how much better is a strix 2080ti at stock vs a fe 2080ti maybe that would help justify the statement somewhat,0.045,0.734,0.221,0.9178
i m for sure getting a 3070 when they get back in stock i have a year to save up money for my first build i ve been watching your videos and your 3070 build tutorial inspired be my budget is 2k so i have everything planned out love the content,0.0,0.756,0.244,0.9169
well is not faster then a 2080ti but it gets extremely close is pretty much 95 of its performance for less that half of the price its a great deal the is stock but with the oc other brands do i will be on par,0.0,0.766,0.234,0.9169
3070 is perfect for 1440 if your not playing ultra settings the new games like watchdogs legion is asking for over 8gb of ram at 1440 with ultra settings even in a mix of high and ultra so keep that in mind for this reason alone not speed but memory i now have to go with 3080 or 2080ti lol 2080ti has more memory and same speed as 3070 so this might be the best choice when prices for them comes down to earth,0.03,0.823,0.147,0.9153
yeah using the 1070 this might actually be the first card to be a reasonable upgrade until now every upgrade either wouldnt have improved performance really impressively or was just too expensive still im going to wait for partner models to be released all the reviews to be found a good availability for all cards and rdna2 for seeing what the competition does and if switching brands could actually be worth it so im expecting to upgrade mid 2021 until then i just hope my 1070 wont die on me,0.026,0.809,0.165,0.915
thanks for the review gn congrats for having the best review channel in existence,0.0,0.441,0.559,0.9136
steve i know you guys are so busy but can you squeeze in a relook at the 5700xt its now essentially tied with with the 2070 super and it started just faster than the 2060 super,0.0,0.749,0.251,0.9136
after years out of gaming i build a pretty baller pc 3900xt rog strix mother board pcie 4 m2 ect and have been waiting to get a rtx 3080 with no luck so bought an rxt 2070 super a week ago to get me buy and now my second choice a rtx 3070 is sold out instantaneous also god i hope amd blows the rtx 3080 outta the water and leave all the scalpers with there nvidia cards fingers crossed for a big navi 6800 or 6900,0.038,0.796,0.167,0.9136
i built my first pc the month before the first 30 series cards came out i got a 2060 super for 320 and i just upgraded to a 3070fe for 300 im so glad i waited and i hooked up this kid with my super for 150 he was upgrading from a 1650,0.0,0.783,0.217,0.913
can you run through a nvidia control panel settings guide and good base overclocking for this card that would help me out alot theres so many nvidia control pantl settings videos but none of them seem to work very well for my setup please help,0.0,0.744,0.256,0.9079
good review giving heaps of confidence to be happy with a 3070 and not needing a 3080,0.0,0.472,0.528,0.9062
gpu rendering any chance you could test 2 x rtx 3070 v 1 x rtx 3080 and maybe 3090 for blender gpu rendering with optixtrying to decide if its better to get 2 cheaper gpus or 1 high end gputhis might be a better comparison with 2 x rtx 3060 v 1 x rtx 3080 when they come out i would love to know the results this has to do with australian pricing,0.0,0.821,0.179,0.9001
i would go for a next gen console with really similar performance for 500 instead of a 1500 pc build you can also enjoy everything way better on a nice tv and a nice controller i want to say goodbye to drivers windows updates and all that bs not even mentioning the tons of different game platforms they just cant be all on steam can they,0.0,0.809,0.191,0.9001
you know it might benefit the gpu core to have its flow through design fan also flow through the card near or even between the gpu core and the ram they are relying solely on conductive cooling on the hottest components and then actively cooling the conductive material what if there were vent holes in the card itself in this area because its either vent the heat that builds up between the gpu coreram chipsmosfet where there is no contact with the cooler or incorporate a massive ihs that covers everything like they started doing with cpus only bigger plus with a fan being right on top of the gpu core already the only thing they would have to do to implement this is move some traces out of the way to allow for the airflow to physically pass through the card,0.015,0.878,0.107,0.8979
youre the best reviewer because youre realistic i love it thank you,0.0,0.423,0.577,0.8979
definitely an excellent card only marginally more power efficient over the 2080tis i would think the 8nm die shrink would allot more of a wattage to performance ratio but the die is much smaller and more compact and it only uses 10 less power than a 2080ti only real improvement i see is price thanks for another awesome and in depth review,0.101,0.646,0.253,0.8958
the 3070 is an amazing card i managed to get lucky and get mine in 2020 for msrp although i feel like its vram is going to be an issue in the future im seeing a few games almost touch the ceiling at 1440p itll be interesting to see how far future titles can push it,0.0,0.806,0.194,0.8957
so basically this card fills the small gap that existed between the 2080super and the 2080ti in some games it beats the 2080ti but in most games its closer to the 2080super oc than the 2080ti except 4k rtx path trace still tho the 2080super was a 700 card and this is just way better in terms of value for money hope amd wrecks it,0.0,0.85,0.15,0.8957
thanks for mentioning 970 hangers on like myself lol this is exactly the cars i was looking at i game some but not a ton so this looks like a good option,0.0,0.644,0.356,0.8934
i dont see the point in overclocking a system like this theres enough power to play games comfortably i play older games on older hardware and may never have a pc like this and watching the video was refreshing,0.0,0.704,0.296,0.891
honestly my 1070 does quite alright at 1440p think i can stretch it out another generation too many people just thirsty for the latest and greatest when they don t even need the upgrade a used vega56 for 150 off ebay would do most people just fine,0.0,0.776,0.224,0.8899
i miss the good old days when you could get superb great gpus for 300 bucks or less,0.062,0.506,0.432,0.8885
finally a perfect series 3000 review without spoiling 25 games this is the best video in the world for me and idc what everyone else thinks thank you very much,0.0,0.714,0.286,0.886
i think the 3060 ti is the better value as the 3070 isnt that much better for the price save the extra hundred or so on saving up for a 3090 later,0.0,0.695,0.305,0.886
so it is normal to stay with my rx 5700 non xt if i am happy with the performance now d jk for now ray tracing is too new and not something that i want and my gpu is perfectly fine for 1080p 144hz actually my ryzen 5 1600 is bottleneck most of the times,0.021,0.782,0.197,0.8854
i still wonder why reviewers sneer at dlss who cares what the card does to give the best graphics and frame rate i personally love control with rt on full never seen any game so realistic looking my 3080 run it at 110 to 130 fps with ultra settings dlss is amazing just because the competition doesnt have it is no reason to hate on it,0.075,0.733,0.192,0.8834
thanks for listening to audience about dlss i understand the purist stance on it but at least including it is the right move if the results are good enough that a lot of people can be comfortable using it,0.0,0.768,0.232,0.882
looks pretty good the 10 people that get to buy it must be very happy,0.0,0.543,0.457,0.8777
first time here subbed for sure i enjoyed this quite a bit i ll love you even more tho if you tell me what that yellow mouse is,0.0,0.686,0.314,0.8768
now what we need is an amd card that is able to outrun this at the 400 price point i dont think rdna2 is going to outpace the 1090 but i am hoping it is more than a 5700xt over again and actually aims up the stack a bit higher i remember reading the original anandtech article on the 2900xt way back in the day the first card released after the amd acquisition and the article was titled calling a spade a spade and they priced the card basically at 299 in the face of the 700 8800 gtx and 500 gts and it was about similar to the 8800 gts 320mb at around 400 and it actually sold all they could make but amd was glad to drop the card as quickly as possible and the 3870 was a far better successor fixing some of the performance issues heat problems and having much higher clock rate all at the same price i want that sort of competition again fk these 15002000 flagship cards that is a rip off no matter how fast they are its just a video card,0.045,0.848,0.106,0.8765
im only interested in zen3 and big navi but ill still watch to support gn for the outstanding work you do,0.111,0.479,0.41,0.875
considering on how well designed the card is then that means a lot of thought went into it therefore if we try to assume that the connector in the middle of the card was intentional then couldnt that mean they were hoping that mother board designers would design their mother boards or at least case wise for the card to stand upright rather than side ways so then the power cord is pointing down rather than towards you therefore there would be more support for the card in the case,0.0,0.885,0.115,0.8748
about 3070 because of your review 9 months ago instead of the 3080 i havent regretted it one time absolutely love the 3070 or rock solid video card and the driver support from nvidia has been amazingthank you,0.0,0.745,0.255,0.8743
its a good improvement over my 1070ti 2x but i play at 1080p and most games are good enough for me maybe next gen im looking forward to ryzen since i have i5 3470 quad core which is getting old,0.0,0.752,0.248,0.872
great review as per usual so much so i bought a mat lets hope it gets to the uk nice work keep it up,0.0,0.66,0.34,0.8689
i would call this best price to performance gpu and thats why i am gonna buy itthi till i make money for all that 40 series will launch and i may end up with 4070 xd,0.0,0.773,0.227,0.8689
and to think that my rx 580 is still my best desktop gpu thats honestly pretty weird looking at this considering i have a 1440p monitor to use it with red dead 2 makes me turn the settings to around the lowest balanced preset to get smooth enough gameplay in 1440p on that card youre making me interested in upgrading kinda considering something on that system which i feel may be the gpu is causing the computer to occasionally hard lock itself forcing me to press the reset button i dont know though i am honestly kinda a cheap person i do have a laptop with an rtx 2060 maxq in it which is actually a bit better than my rx 580 but its a laptop also my desktop only has a ryzen 2600x to go with the rx 580 so i am wondering if i may need a cpu upgrade also to properly take advantage of the card in which case i might as well just build another computer,0.041,0.853,0.106,0.8688
really interested on the back of this i managed to get a 3070 aorus master as a really really lucky impulse buy the card as far as i m concerned is worth it as it was an upgrade from a 1060 6gb however i made the dumb mistake of paring this with a 60hz 1080p monitor i m now in a situation where my i7 7600k is running 75 and my gpu is running at 75 but my monitor is just not up to the task bottom line don t go and spend loads of money on a gpu if you have a crap monitor you won t notice the difference and you ll need another £400 to really see the difference in panels totally my 2 pence on the subject and any monitor recommendations would be great to receive sorry for the ramble here s a thumbs up,0.059,0.83,0.111,0.8635
consoles are awesome this year and pcs are great too still though its just up to what you want and need,0.0,0.655,0.345,0.8591
rtx 3070 is 899 usd at microcenter but in best buy it s 500 or 600 is this worth it i m trying to build my first pc,0.0,0.73,0.27,0.8586
uk consumer here somehow managed to get myself a 3070 fe upgrading from a 970 but i want a 6800xt or a 2070 super if second hand price drops should i sell the 3070 fe or just keep it for cyberpunk it doesnt look like they are going to make too many more fes,0.046,0.762,0.192,0.8568
i have rog strix 1070 i see that 3070fe does double as good in many scenarios and it supports raytracing while at it i am opening up a little savings account for it and i am looking forward to board partners presenting their versions obviously i would like an rog strix version because i like rog stuff,0.0,0.816,0.184,0.8555
hey so i was wondering since the lian li o11 cases are popular how would 3 bottom intake blowing on the fe would do it looks like it would be great for those that can find one of those cases for a reasonable price,0.0,0.802,0.198,0.8555
im gonna wait til january and see whats best then but right now this looks best in my opinion,0.0,0.669,0.331,0.8555
i am really impressed with amd it looks like they have better performance and faster ray tracing what should i get if i am working with cad and rendering keyshot blender the type of the card is important nvidia vs amd also i have 3950x thinking about upgrading to the new 5950x but not really sure the vram if fine for me anyway 16 or 20 i will not pay for 3090 in any case my dilemma is between the top amd and the 3080ti spending aboute 1k i am also gaming but most of my time is working on my pc thanks,0.044,0.8,0.156,0.8471
i would be interested to know how much power is being drawn through the motherboards pcie slot 75w max spec and how much from the psus 8 pin pcie power connector 150w max spec surely this card is drawing more power than the official specifications for these i hope this gets the same mention as it did when the rx 480 first launched and was found to be drawing too much power from the motherboard,0.0,0.872,0.128,0.8402
me wow this is actually a great price to performance card also me as if itll actually sell for msrp,0.0,0.683,0.317,0.836
just ordered my pc from cyberpower with a 3070 and didn t know what to expect after seeing your video i m much more confident in the purchase your review was very well worded and your presentation is very clean subscribed,0.0,0.793,0.207,0.8351
asus 3070 dual oc is very impressive very happy with my purchase even knowing i paid nearly double msrp,0.0,0.671,0.329,0.8338
nice video tell me what i don t need save my money lol,0.0,0.476,0.524,0.8316
so kinda better and kinda not better than a 2080ti still going to be a sweet buy,0.0,0.578,0.422,0.8303
so was able to order my 3070 fe had to do it on my phone though at best buy i couldnt get them to add it to my cart on my pc so that was fun,0.0,0.81,0.19,0.83
i like how pc centrics says not to waste your money even though it is the rtx 2080ti a bit better and cheaper how can u go wrong with that and pc centrics owns a rtx 3090 and he says the rtx 3070 is a waste lol,0.06,0.693,0.248,0.83
another paper launch amazing another nvidia product that is nowhere to been seen guess fate is telling me to get amd this time around lets hope amd doesnt copy tense jensen rays decisions,0.0,0.774,0.226,0.8288
to be honest i think the 3070 is slightly overpriced might sound crazy but i think it should be about 450 below the price of a 3080 ps5 is coming out they have to bring out a card thats going to compete a little with next gen titles you might aswell just save a couple hundred xtra dollars and get a massive performance increase with the 3080,0.025,0.835,0.14,0.8271
i actually still want to get the rtx 3070 fe uk due to its minimalist look plus its quite good for rendering it seems i rather not go above £500 as its more of a upgrade to my existing gpu the gtx 1050 is not up for task for the long run sure its a good card but not enough for my needs my cpu however should be decent enough with the new gpu as i havent really met any true issues with my cpu yet i have the i77700k luckily the rtx 3070 isnt too much of a hungry card so ill be sticking with my 650w psu may or may not need to get another adapter to split a cable as my psu is not module but is corsair,0.036,0.85,0.114,0.8231
great tile to be a scalper can t find this card for under 1000i predict this 3070 will be the card of the year i need this card and i need the founders edition because i rock a tiny pclove my little cube but it limits which version of card i can rock the founders 3070 will be perfect one day when they actually have stocksad daybrand new everythinggigabyte x570 aurus pro wifiitx versionamd ryzen 5 3600 and rgb ram750 watt modular psueverything brand new but still using the gtx980lol 2015 card i ll get the 3070 when it is normal price and not literally doublecheck the prices atmliterally double on every cardcan t even find a 1080ti founders for under 1kwtf,0.0,0.935,0.065,0.8225
if it meets your speed goal and its as much as you want to spend who cares just because a faster card might be a better value doesnt mean the one buying the card has the money for it,0.0,0.775,0.225,0.8225
can you please make a video on a gaming pc that is 1250 or less or 1300 with 144hz i know it s a lot but it would help a lot thx,0.0,0.731,0.269,0.8151
i m waiting for the new ryzen reviews to see whether i want to upgrade my cpu or my going this is a pretty decent upgrade even over a 2070 super,0.0,0.732,0.268,0.8126
just wanted to say been watching you for around 7 8 months and i really appreciate the effort and personality in your videos a lot of the time with tech videos the creators kind of become like voices that read a script your channel feels more real more personality keep up the good work man,0.0,0.848,0.152,0.8122
i think you should include atleast 1 blender cycles cudaoptixopencl or alternative gpu accelerated renderers arnold and co benchmarks to the mix approximate render time improvement holds a bit of production value for me the beef is good tho,0.0,0.799,0.201,0.8074
i just got an rtx 3070 for £450 from a mate who had to sell it cost of living crisis and it runs amazing with my r5 5600x and 1440p 165hz monitor runs basically every game maxed out well above 60fps ray tracing and dlss are great too huge upgrade from my aging 1070 ti,0.064,0.745,0.191,0.802
wow i just saw something verry interesting since i have the same cpu coolerdarkrock 4 i was thinking about moving the fan from front pushing air on cooler to backpulling air from cooler because the fan block 2 other ram slots to be used how are your temps using this metod compared to standard front mounting,0.048,0.767,0.185,0.802
i hope the rtx 3060 ti would give the consumers a much better value gpu,0.0,0.549,0.451,0.802
i will say that although pc s are probably better in terms of performance and value the ps5 added another good reason to get a console with it immersive features on its controller,0.0,0.767,0.233,0.802
i dont play gta v but im a bit shocked to only see a 31 performance increase over the gtx 1080 in 1440p thirtyone percent in over four and a half years yes its a step down card xx80 to xx70 but this really shows how little the 2000 series improved over the 1000 series,0.076,0.744,0.18,0.801
i am trying to get solid frame rates at least 72 fps for playing no mans sky in vr through quest link on the oculus quest i have an i7 6700k rtx 2070 16gb ddr4 ram at 2197 mhz 800 watt psu and a crucial bx100 series ssd i upgraded from a gtx 970 to the 2070 and noticed improvement but the game still has issues maintaining smooth frame rates and gameplay needless to say i was disappointed that the 2070 didnt solve my issues completely as far as i can tell the main improvement from the 2070 to the 3070 is the increase in cores i was thinking that since it has double the cuda cores that it would solve my vr issues but since everything else is pretty much the same idk how much of a difference it will make would it be worth it to upgrade to a 2070 from a 3070 for this issue,0.068,0.821,0.111,0.8006
i loved the ending quote about being happy with the card you have now being a 60 series user i wanted a 3080 just to upgrade navi leak claims make it worth to wait for more info and partner cards for the 3070 come out,0.049,0.757,0.194,0.7964
hi im gonna build a new pc very soon for christmas and im planning on getting a 3080 and a ryzen 9 5950 but im still on a 60hz monitor is there a monitor you could recommend me thats 144hz or better for about £4500 edit or cheaper i think its time to upgrade my monitor aswell,0.0,0.871,0.129,0.7964
i listen to so many tech channels that i cant remember who said it but it was reported that some retailer had 500 of these as if that was something to brag about show me neweggs amazons or best buys parking lot with an 18wheeler unloading pallets of the things and maybe ill be impressed,0.076,0.768,0.156,0.7964
same as previous comments first time viewer of your channel but very refreshing and a great down to earth review subed and looking forward to future videos,0.0,0.805,0.195,0.7932
thanks for the great content once again boys,0.0,0.462,0.538,0.7906
the amount of information you guys provide in your review videos has gotten to such an mind blowing amount i am purely impressed kudos to you,0.0,0.767,0.233,0.7889
i have a feeling amd is going to surprise the hell out of all of us that bought 308090s tomorrow still happy with getting a 3090 but im pretty sure these dates they are setting so close together are all competition moves tomorrow well see the 6800xt at 649 and then the 6900xt at 9491099 i dont think its a coincidence that the amd press conference is a day after the 3070 release 6900xt beating 3090 hoping not lol,0.107,0.688,0.205,0.7877
anyone else noted at 248 a little plume starts descending from top to bottom in front of steve was so gracious that i missed everything he said during that haha,0.069,0.669,0.262,0.7877
to be honest i have zero interest in watching this video for the actual card as the launch will just be another shitshow of incompetence watching this strictly to support gn you guys are doing gods work,0.073,0.681,0.246,0.7845
still love my 1080ti gonna upgrade next year when stock levels out maybe a new 3080ti will be released in my dreams,0.0,0.734,0.266,0.7845
which 3070 is the best one to buy by your opinion i will be definitely buying one next year,0.0,0.699,0.301,0.7845
could someone explain why i wouldn t want this card for 1080p i m new to pc gaming and it seems like this is a great card if i m wanting to go max settings at 1080p while also maintaining a high frame rate in those games for years to come,0.0,0.835,0.165,0.7845
i was originally going to get a 2070 super glad i waited,0.0,0.504,0.496,0.7845
the 2060s power connector was the best it was a standard pin layout and it came out of the cards side the one on the 3070 is just retarded it comes out of the middle so it looks hideous but a great video,0.048,0.782,0.17,0.7845
so nice of you to review a product consumers will never be able to buy these things arent even being produced for regular people well have to wait months to get some third party card that will run you double the price,0.0,0.828,0.172,0.7841
would you say this is good enough for a super ultrawide 5120x1440 120hz monitor or should i get the 3080 for that,0.0,0.726,0.274,0.7783
217 he said if you can fit the 2080 then you can fit the 2070 lol,0.0,0.625,0.375,0.7783
just bought a gaming pc with the same 3070 graphics my monitor flickers only while playing a game any game any help would be appreciated as i am brand new to pc gaming,0.0,0.776,0.224,0.7783
and just like that i was looking for a 3070 review and i found the best reviewer and tech channel i didnt know about,0.0,0.729,0.271,0.7717
good card wish i had horton the 6800xt instead but this is a very good midrange card,0.0,0.611,0.389,0.7684
personal opinion i do not really wish to know how a rtx 3070 compares to a rtx30803090 i honestly think that buying a second hand rtx2080 for 400 price area would be better option as for upcoming amd graphics card for me will depend on amd radeon releasing a driver only option or their usual bundle of breakware,0.042,0.806,0.153,0.7667
that depends on what you want it to do it does work well if what you want to do is cemu and some botw or super mario 3d with mild reshade effects with 8 core cpu and 32gb of system memory a similar performance to the amd rx 590 8gb with 4 core cpu and 16gb of system memory the core clocks of both are in the 15 ghz range,0.0,0.88,0.12,0.765
buying a 2080s for 330 right after announcements now seems like a great deal,0.0,0.602,0.398,0.765
great video what 4k monitor would you recommend for the 3070,0.0,0.577,0.423,0.765
love your channel man i bet youre excited for the new apex mapseason in few days too finally release on steam,0.0,0.732,0.268,0.765
im definitely a 1080p dude nearly blasphemic as it is lmao rocking the relatively old and gold gtx 1070,0.0,0.708,0.292,0.765
bought a 3070 for warzone got the same performance with my 1660 super wish i wouldve just got a 2080ti,0.0,0.694,0.306,0.765
btw u prob should play in full screen for the best fps,0.0,0.577,0.423,0.765
2080ti performance for half the price the 3070 if you can find it is the best value in graphics period,0.0,0.732,0.268,0.765
a bit off topic but those with amd cards and driver experience are the drivers still really worse than nvidias after years and years of the green side i might switch if amd has something good to offer but the driver story holds me back i really also like the tech on nvidias side like rtx and dlss but do i really need it maybe not,0.062,0.786,0.152,0.7647
i love the 3070 i dont think ill be upgrading for a while,0.0,0.551,0.449,0.7602
you should do a review of this inside the h1 mini case i hope it will fit and run well,0.0,0.667,0.333,0.7579
