,neg,neu,pos,compound
herschel walker is precisely what mitch mcconnell and donald trump think of you georgia try having some selfrespect you might like it or be the laughingstock of the world like mtg wasnt bad enough #gadebate,0.0,0.803,0.197,0.7814
trump supporters are already saying that if donald trump defies the january 6 committees subpoena to testify under oath he should be given a free pass should trump be locked up instead yes or no,0.055,0.723,0.222,0.7717
debate takeaways raphael warnock i want to save your life herschel walker trump is my friend moderator walker put away your prop,0.0,0.7,0.3,0.7717
salman khan has been so powerful with his announcements that he he has biggest trump to make the messiest announcements right from deciding new date to moving his biggest franchise on biggest festive date with biggest production house #yrf salman khan mass ,0.0,0.858,0.142,0.7661
i would like to be the first one to welcome donald j trump back to the white house as the original 46th president was never legally our president,0.042,0.707,0.251,0.7582
good morning yall happy saturday its critical every registered democrat show up in person nov 8 vote early or mail in your balloti know mr trump wants repubs to stay home but i think we should show up now lets go on out there and make some good noise today,0.031,0.818,0.151,0.7579
nancy pelosi was trying to help save mike pences life while trump incited a mob to hang him lock this psychopath up,0.0,0.763,0.237,0.7096
i tuned in to warnock walker debate late but what was clear is warnock voted with biden 96 of the time what i learned about walker is he has no policy trump is his friend hmmmm wondering what walkers voting rate might be #votebluetosavedemocracy,0.057,0.788,0.156,0.7096
trump and trumpism would not have been possible without all those who knew better but enabled him coddled him excused him promoted him or just looked the other way,0.0,0.827,0.173,0.6858
pakistan is a great friend and prime minster imran khan is a great leader president trump pakistan is most dangerous country in the world and its nuclear program is illegal president biden,0.161,0.576,0.263,0.6605
moderator would you support a trump 2024 presidential run walker yes i would for us senate #gasendebate,0.0,0.707,0.293,0.6597
#arizona governor ducey of arizona just pulled a trump trick he just appointed four of his personal friends to the maricopa county superior court this last minute appointing of judges to courts before terms are up has got to stop,0.076,0.778,0.147,0.6369
knows that science is truth whether or not you believe it wants to meet more resisters like you who know that trump is a traitor,0.0,0.812,0.188,0.6222
executive privilege doesnt apply because the doj is part of the executive branch but even if trump could assert executive privilege it would be overcome by the governments demonstrated specific need under us v nixon and other reasons abridging here 14,0.0,0.884,0.116,0.6124
president trump is a fiction there never was and never will be a president trump there was a guy named trump masquerading as a president for four years but it was nothing more than a helloween party that lasted four years,0.0,0.899,0.101,0.6054
what do you think donald trump meant when he said i always want to tell the truth when i can i tell the truth,0.0,0.753,0.247,0.5994
why are democrats so against election integrity they were the ones whining about trump allegedly cheating to win the 2016 election shouldnt they want election integrity,0.185,0.552,0.263,0.5866
jeffrey epstein banked with deutsche bank just like your boy donald trump please say more,0.0,0.73,0.27,0.5859
interesting debate in georgia walker doesnt like raising the minimum wage expanding medicaid for those who cant afford insurance womens rights voting rights and wants trump back in the wh vote warnock and save america democracy,0.051,0.805,0.144,0.5845
the secret service appears to have played a huge part in the coup either by negligence or malice a full review of the so called elite service needs to happen trump corrupts everything he touches,0.0,0.868,0.132,0.5719
once again the republican party has absolutely zero policy platform there is nothing that they stand for other than attacking democrats and supporting trump its depressing but it is true and must be said on repeat until election day and beyond,0.08,0.761,0.159,0.5719
if ron johnson wins i wont have much to say about wisconsin hes another trump cling on,0.0,0.802,0.198,0.5719
im going to punch him out go to jail and be happy on trump ,0.0,0.778,0.222,0.5719
anatomy of an insurrection part 1 1 trumps speech was an hour late 2 proud boys first breach 1253 while he was still speaking the national guard should have been deployed 3 in dc since 1882 the only people who can deploy the national guard are potus and sec of defense,0.0,0.907,0.093,0.5574
when i saw biden 96 trending i thought yeah finally the approval rating he deserves for having to clean up after loser trump,0.12,0.599,0.282,0.5574
come on newt stop with the trumpian talking points you were a congressman you know walker does not have the chops to do the job in the senate but will only be a shill for trump et al are you proud of this moment,0.035,0.874,0.091,0.5499
so pelosi thought she had a shot at punching out trump on january 6th huh sounds like she just established motive to frame him and steal an election i never thought id say this but thanks nancy,0.053,0.806,0.141,0.5423
world peace depends on trump coming back to power thats how aweful global leadership is right now,0.0,0.821,0.179,0.5423
this fuck you is dedicated to all the putin loving trump humping traitors out there ,0.156,0.536,0.308,0.5267
trump never gave a single statement after imran khan visit even appreciate pakistan in india biden never dare to speak against pakistan during imran khan tenure now us president is openly spitting venom against pakistan nuclear assets,0.0,0.885,0.115,0.5267
donald trump is a gift that keeps on giving to law enforcement agencieshe unlawfully instructs people to move boxes at his home and forget he has cameras watchinghe is caught by his own cameras talk about spilling own beans in action,0.043,0.837,0.12,0.5267
a 2nd witness from maralardos maralago has come forward tells fbi djt was flying docs all over the country probably to trump tower ny and golf course in nj laces nations security great risk because props not secure,0.095,0.756,0.149,0.521
how bitchin would it be if president trump would endorse say a jim jordan as speaker and a rand paul as leader in the senate i can dream,0.0,0.842,0.158,0.5106
warnock is avoiding answering questions herschel is kicking his tail herschel just said that trump is his friend and supports him if he runs for president go herschel,0.073,0.755,0.172,0.5106
youve gotta hand it to walker there are very few humans and even less dolphins that can make trump seem articulate in comparison #gadebate,0.0,0.878,0.122,0.4939
herschel has a 5 point plan 1 trump is my friend 17 i am a special agent g who needs treatment for disassociative personality disorder i will get in a shootout with police #gasendebate,0.085,0.728,0.187,0.4939
led by trump the republican party has morphed into the greatest threat to the republic since the confederacy a cult that refuses to accept electoral defeat,0.178,0.557,0.265,0.4767
biden 96 walker was a no on womens choice walker was a no on sudent debt relief walker was a no on raising min wage walker was a no on fixing hospitals but walker loves trump and wants him to run in 2024 ,0.172,0.677,0.15,0.4497
do you agree with me donald trump gave up a lot of money for america joe biden gave up america for a lot of money i want to follow you,0.0,0.868,0.132,0.4215
donald trump keeps asking why the government never investigated the stolen election and its the same reason that they dont investigate the tooth fairy because they just dont exist,0.0,0.914,0.086,0.3875
our democracy is on the line lets start with the facts joe biden won the 2020 election by over 8 million votes my opponent refuses to acknowledge that donald trump lost,0.068,0.824,0.109,0.34
so nancy pelosi went into jan 6 w a police force at half strength didnt work w trump to secure the capitol wont allow any questions about her role and now she had her daughter there ready to release carefully edited snippets for a documentary paybacks will be hell,0.116,0.705,0.178,0.3257
truth social is basically instant messenger for trump university ,0.0,0.777,0.223,0.3182
the secret service and the supreme court were two of the last institutions people trusted and thought were above politics no longer the putrid stench of trump has soiled their reputations,0.14,0.689,0.171,0.296
can you imagine the medias response if trump grabbed a teenage girl and whispered no serious guys until youre 30 biden does it againand againand again and the media laugh and say thats our joe,0.092,0.814,0.094,0.2732
the secret service has been compromised it needs to be purged of trump loyalists asap agreedisagree,0.0,0.877,0.123,0.2732
every day more people come forward with evidence proving what weve always known there is a clear tie between the big lie the insurrection and the continued danger that trump poses to the country subpoenaing trump is a good first step we must hold him accountable,0.068,0.822,0.11,0.2732
not one detail from tim michels during the debate ridiculous empty promises climate denial rhetoric and support for the big lie and criminalizing abortion were the highlights of this trump wannabe,0.117,0.738,0.145,0.25
the nurembergtrials taught us there must always be accountability for fascismbut it was allowed to live on in the us and trumps giving all thesesuperiorhuman beings a 2nd chance for the masterrace to rule the biggest mistake we ever did is to let that happen vote,0.049,0.861,0.09,0.25
thank you president trump for all you are doing to try save america for future generations all while a war is being waged against you we cant fathom the weight you carry,0.104,0.745,0.152,0.2023
whether its roger stone calling donald trumps daughter an abortionist bh or joe biden telling his own son that he loves him there have been plenty of outrageous comments about presidents children from extremists on both sides of the aisle,0.067,0.85,0.083,0.1779
this republican party has made the united states appear unprofessional and untrustworthy around the world america was once a leader president biden and the democratic party are trying to repair the damage trump left while republicans continue trying to bring us down #demvoice1,0.126,0.716,0.159,0.1779
if you stop and consider that the 3 countries in the world today that would most like to see donald trump return to the presidency are russia saudi arabia and north korea the international news these days takes on a whole different perspective,0.05,0.887,0.063,0.1513
the only way our democracy will survive is if trump congressional republicans involved in jan 6th along with his cabinet members miller wolf radcliff navarro rosen clark pompeo meadows miller etc are held legally accountable for their action,0.0,0.964,0.036,0.1027
so nancy pelosi said she wanted to punch trump in the face on january 6 big fucking deal dont all real americans want to do that,0.0,0.949,0.051,0.0772
the mob militias on 16 were planning to take congress hostage and have executions trump wanted an excuse to declare martial law and be president for life we barely escaped a coup #lockhimupnow,0.0,0.96,0.04,0.0772
while the jan 6th insurrection was happening nancy pelosi was still trying to get everyone to safety republicans included trump was putting everyone in danger by doing nothing to stop the siege republicans included thats the difference,0.081,0.808,0.111,0.0742
im not sure why anyone celebrated trump having to testify for the #jan6thcommittee because he aint gonna do it hes a coward and a traitor unless theres a magic legal element that liz pulled from her vagina it aint happening,0.115,0.765,0.12,0.0613
is the rico ring arrested yet trump bannon flynn stone eastman still walking around free,0.16,0.67,0.17,0.0516
knows that trump should be in prison votes blue princess is looking to meet more resisters like you who will never forget january 6th,0.115,0.731,0.155,0.0372
president trump was right about everything october 14 2020 trump claims biden win would cause depression despite economists forecast,0.151,0.694,0.155,0.0258
donald trump ordered the withdrawal from afghanistan he wanted it complete before he left office #gadebate,0.0,0.932,0.068,0.0258
biden is what they all said trump was,0.0,1.0,0.0,0.0
what do you think of nancy pelosis comment about wanting to punch him out referring to trump on january 6th,0.0,1.0,0.0,0.0
breaking the fbi could raid trumps other properties,0.0,1.0,0.0,0.0
today is october 15 2022 and president donald j trump is still the only legitimate president of the us,0.0,1.0,0.0,0.0
trump was unfit for any government office and everyone knows it walker is unfit for any government office and everyone knows it,0.0,1.0,0.0,0.0
retweet if you consider ivanka trump americas first daughter,0.0,1.0,0.0,0.0
waisay coining the term sleepy joe should be more than enough of a reason for trump to be reelected,0.0,1.0,0.0,0.0
645 days ago insurrectionists ransacked the us capitol and hours later 68 of house republicans voted to finish the rioters job and make trump a dictator here are their names,0.0,1.0,0.0,0.0
trump sent a 14page letter to the january 6 committee rehashing his usual garbage i bet he cant answer a single question they ask him under oath without taking the fifth,0.0,1.0,0.0,0.0
listen to all these koolaid drinkers who are afraid of trump and afraid to stand up for americans,0.0,1.0,0.0,0.0
compared to herschel walker even trump is borderline articulate,0.0,1.0,0.0,0.0
if trump was done or walked away he wouldnt be doing rallies or endorsing people ,0.0,1.0,0.0,0.0
do you believe trump is a traitor to this country,0.0,1.0,0.0,0.0
i wonder how long the government will wait until it takes action to retrieve classified documents from trumps other properties what kind of leverage does he have by holding onto these documents,0.0,1.0,0.0,0.0
my mind is made up if 2024 is trump vs biden im voting biden,0.0,1.0,0.0,0.0
florida is running out of ketchup as trump redecorates the walls of maralardo,0.0,1.0,0.0,0.0
reagan was once a democrat and became a conservative trump was a democrat and adopted conservative beliefs wheres the democrat who used to be a conservative,0.0,1.0,0.0,0.0
roger stone called ivanka trump a btch abortionist i didnt know she was also an abortionist ,0.0,1.0,0.0,0.0
if nancy pelosi would have went to jail for punching out trump how many of you would have bailed her out,0.0,1.0,0.0,0.0
trumps mentor was the mobs lawyer i think biden stole a candy bar once when he was a teenager,0.0,1.0,0.0,0.0
tom cotton bragged he was an army ranger he was not herschel walker bragged he was a cop he was not trump bragged he was a successful businessman he is not oz bragged he is a longtime pennsylvanian he is not gop has nothing to run on so they make shit up see what sticks,0.067,0.867,0.066,-0.0164
when the government announces nukes are in the air what will be your final thoughts ill go first we definitely got donald trump this time,0.098,0.807,0.095,-0.0258
steve scalise should be called out for his lies about speaker pelosi he told everyone that she did nothing that is an outright lie she is the one who called for the national guard she made call after call to get help she took charge she did everything trump wouldnt do,0.051,0.899,0.05,-0.0258
i really thought things would get better with trumps defeat,0.233,0.543,0.225,-0.0258
trump has been given a free pass his entire misbegotten life as a career criminal time for him to face the music,0.138,0.729,0.134,-0.0258
no they couldnt raid and the fbi has never raided a trump property they legally searched it with a warrant lets never use trumps terms to describe a legal act,0.076,0.825,0.1,-0.0772
biden family protected by corrupted garland doj while trump harassed american people want unbiased application of the rule of law,0.185,0.645,0.169,-0.1027
india ranks 222 on the list of 121 nations in hunger index but sri lanka who were literally begging for alms a few days back are placed 64 on the list wwe trump card rankings were more realistic,0.04,0.96,0.0,-0.128
if i cared in the slightest about what trump has to say these days id slither over to truth social while its on its death bed but im on twitter you know who isnt stop sharing his ,0.129,0.732,0.139,-0.1446
just to recap the fbi paid a human asset suspected of being a russian spy over 200k to launder probable russian disinformation to an unreliable former spy paid by clinton the dnc whose dossier was then used for illegal trump campaign surveillance how is this not treason,0.107,0.798,0.095,-0.1516
nancy pelosi going to punch trump in the face and then snapping on a slim jim while trying to protect the opposition partys vice president makes me want to kick some ass in november #bluewave,0.091,0.807,0.102,-0.1531
none of that is true trump purposely put the members of congress in harms way when you have to lie to protect trump its an admission that you know that trumps guilty #goptraitor #january6th #cult45,0.142,0.731,0.127,-0.1531
the biggest pain about betrayal is that it doesnt come from your enemies but from the people you love trust the most how bad did trumps behavior have to get after 4 years of crime grifting for a real true believer to sell trump out to the fbi,0.242,0.555,0.204,-0.1575
the truth is trump is a traitor who solicitedaccepted foreign interference into the election on his behalf then he actively worked against american interests for the four years he occupied the white house before failing at pandemic response and finally attacking the us capitol,0.124,0.747,0.13,-0.1779
do u agree trump should be in prison,0.306,0.463,0.231,-0.2023
breaking new herschel walker admitted biden beat trump in the election trumpy no likey this,0.133,0.783,0.084,-0.2023
#tequilatweet lets be really fucking clear about something the people who thrust donald trump upon this country are crazy tea partiers like me who riled up the gop base and arrogant republican establishment twits who ignored the gop base speaking only for myself im sorry,0.169,0.696,0.135,-0.2092
before you think trump is in any way winning wait until this plays out this could be a case in which he could have completely avoided criminal liability a year ago but instead decided to take on the us government we still dont know how this will come out 21,0.109,0.818,0.073,-0.2246
the department of justice needs to indict donald trump anything else is sending himand others who would emulate hima clear message you can attack our democracy and incite a violent insurrection and get away with it,0.159,0.705,0.136,-0.25
trump just replied to the j6 committee subpoena with a 14 page rambling letter in other news there is an adderall shortage,0.091,0.909,0.0,-0.25
secret serviceno longer protecting trump theyre now protecting themselves when law enforcement goes bad who do we call barrraygarland putins 2016 plan worked to perfection garlandwaving the yellow flag no bullets firedputin bribed tfggop,0.141,0.767,0.092,-0.25
is there nobody with any ability whatsoever to edit trumps statements before they go out his screed in response to the subpoena today reads like the transcript of confused and tortured ramblings of a mental patient wandering the streets,0.132,0.761,0.107,-0.2732
i was watching the senator warnock walker debate mr walker couldnt stay on his scripted answers a man who has no clue and said he will vote for a traitor of democracy if he runs former president trump we can not vote for another maga quack pot,0.049,0.951,0.0,-0.296
something is rotten in the secret service there must be an overhaul thorough cleansing of the secret service to flush out all the corrupt compromised trump loyalists,0.109,0.822,0.069,-0.296
trump has pitted americans against americans in a way that no other potus ever has,0.145,0.855,0.0,-0.296
the notion of blue maga is yet another example of #chickenlittletrumpmaga trying to normalize their lunacy by projecting it onto democrats there is no blue maga except within trump magas delusional minds,0.066,0.934,0.0,-0.296
trump was providing the insurrectionist a canned hunt with congress as the prize hes same as a murderer he organized the hunt same as ordering a hit,0.154,0.736,0.11,-0.3182
biden should be listening to trump coz he was right about many thingshes right about germanys energy supplyhes right about putin waging warmost importantlyhes right about the us economy collapsing coz of himhe should listen to trump stop sending military aid to ukraine,0.095,0.86,0.045,-0.3182
elon musk is the nerdy version of donald trump thinks he can broker a deal bringing peace if only ukraine would just give up territory and then cutting support because he got his feelings hurt fuck ,0.214,0.647,0.138,-0.34
nancy pelosi would have tried to protect donald trump if he was under attack even though his supporters came to kill her and he did nothing to stop them,0.199,0.612,0.189,-0.3425
while donald trump was in his lowest moment as a human being on this earth nancy pelosi was consoling the guy trump was trying to have executed while snapping into a sljm jim,0.08,0.92,0.0,-0.3818
a job by taking bidentrump 2024 question and turning it into bidenwarnock leaving troops on the battlefield in afghanistan you dont even see professional debaters able to pull this off tour de force,0.077,0.923,0.0,-0.3818
thought for the day more people voted for hillary clinton in 2016 than voted for trump and still he became president america i think ive found the problem with your electoral system,0.083,0.917,0.0,-0.4019
herschel just admitted that biden defeated trump someone check on maralago,0.23,0.667,0.104,-0.4019
after yesterdays hearing its clear donald trump directed a conspiracy to violently overturn the results of a valid election and install himself as the illegitimate ruler of the united states of america,0.187,0.674,0.14,-0.4215
a federal judge denied an effort by john eastman the attorney who helped devise trumps effort to overturn the 2020 election to reclaim his phone from the justice department they are all headed to prison,0.153,0.764,0.084,-0.4215
tony ornato formerly with the secret service current enforcer for trump is going to go through some things treason is the charge getting close to trump is the crime tonyall the phone records werent destroyedoops did trump promise you a pardon,0.136,0.766,0.098,-0.4215
12 in a country that still had a functional moral compass citizens would watch the jan 6 hearings band together regardless of party or region and refuse to vote for anyone remotely associated with trump whom the committee has proved to be an enemy of the constitution,0.115,0.83,0.055,-0.4588
trump attacked america if you lie about that youre siding with a traitor,0.214,0.786,0.0,-0.4588
whats so startling about jan 6 is how unprepared fed protective services were #trump had been telegraphing for months that he wasnt going to leave the presidency and that if he lost the election it was because it was rigged he began saying it as soon as he took office #wtf,0.09,0.859,0.051,-0.4694
his behavior on january 6 shows how wrong it is to use the term president before trumps name,0.162,0.838,0.0,-0.4767
in the warnock walker debate today walker pulled a trump theatrical move breaking the debate rules and pulling out a police badge he is not a police officer he should get arrested for impersonating one he said the badge was real,0.077,0.923,0.0,-0.4767
this is your daily reminder that whatever we think trump has done its always way worse,0.171,0.829,0.0,-0.4767
ivana trump was cremated theres no body in that casket so theres no uproar about digging it up see elwhats actually in casket that took 10 pallbearers to carry we want to know doj,0.12,0.845,0.035,-0.4767
people like to yell its supposed to be bad on purpose like its some kind of gotcha or trump card shitting your pants on purpose doesnt make it smell less like shit is all im sayin,0.204,0.637,0.159,-0.4804
so trump putin and mbs are extorting the world together in a 3way deal to keep oil prices high to put biden on the ropes politically in exchange for nuke secrets ukraine territory possible trump return and he gets 2 billion and pressure on biden through gopgru propaganda op,0.085,0.915,0.0,-0.4939
trump will never show up we have real issues in our country sitting before those teleprompter reading fools is not one of them #gutfeld,0.122,0.878,0.0,-0.4939
paul ryan on trump running for president again we all know that hes much more likely to lose the white house than anybody else running for president on our side of the aisle so why would we want to go with that biden would crush him with over 100 million votes,0.085,0.891,0.024,-0.5046
hillary belongs in prison joe biden belongs in a nursing home and donald trump belongs in the white house,0.163,0.837,0.0,-0.5106
socalled americans spreading insurrection disinformation for trump make me sick,0.268,0.732,0.0,-0.5106
breaking wapo doj asks 11th circuit to reverse cannons order appointing a special master arguing trump had no right to any of the disputed documents once he left office so there is no legal basis for a special master well duh been screaming this for months,0.22,0.621,0.16,-0.5267
its going to be hilarious when trump gets indicted for election fraud in georgia and double secret field agent herschel walker texas junior ranger is assigned to arrest himyou know because herschel is a totally real cop with a totally real cop badge,0.132,0.81,0.058,-0.5423
seriously your moderator just questioned s physical and mental fitness but didnt say a word about trumps unbelievable democrats stop participating in these debates they are not helpful in the least,0.238,0.655,0.107,-0.5571
when joe biden tries to murder kalama harris well talk about how both him trump have flaws,0.216,0.688,0.096,-0.5574
tom fitton was part of trumps attack on the capitol its why fitton is desperately trying to discredit the j6 committee fbi and the doj keep in mind that it was trump and fitton who committed crimes not the j6 committee fbi and the doj,0.114,0.843,0.042,-0.5574
roger stone called ivanka trump an abortionist bitch,0.352,0.648,0.0,-0.5859
nancy pelosi on camera says if trump shows up on the sacred capitol groundsshe intends to punch him out doesnt care if shes arrested and has to go to jail itll be worth it he is engrained or firmly fixed within their heads and shes third in line to become president,0.103,0.863,0.034,-0.5897
are you in favor of exhuming ivanas suspicious grave site to look for more if the missing documents that trump stole from the american people,0.242,0.672,0.086,-0.5945
i know more people with covid today than at any point during the height of the infectionsbut covid is nowhere to be mentioned in the news if trump was president there would be a death ticker on every network or news site,0.091,0.909,0.0,-0.5994
acting secdef chris miller must be held accountable for his active participation in trumps coup attempt including denial of troops lying about what he was doing in the midst of the mayhem and then lying about it on fox weeks later he was appointed for a purpose,0.13,0.819,0.051,-0.6249
democrats are looking for a way to prevent trump from running for president but they will be defeated by desantis,0.187,0.766,0.047,-0.6249
i think when trump is arrested they should handcuff shackle him then give nancy pelosi 10 minutes alone with him,0.231,0.769,0.0,-0.6249
4 not a single person has any information linking president trump to any violence or the storming of the capitol building,0.186,0.814,0.0,-0.6249
breaking doj files brief in the 11th circuit to overturn cannons order stating that 1 cannon had no basis to impede an ongoing criminal investigation 2 trump has no basis to claim executive privilege 3 trumps claim that he may have declassified documents is irrelevant,0.161,0.787,0.052,-0.6486
the fbi has trump on camera stealing boxes like craig from friday retweet if you think trump should be arrested now,0.249,0.659,0.092,-0.6486
during the the debate threatened me with treason for bringing up him voting to not certifying the election yet when donald trump has classified documents breaking the espionage act which is literal treason he comes to his defense interesting #utpol,0.183,0.729,0.088,-0.6808
maybe one of the most dangerous nations in the world pakistan nuclear weapons without any cohesion jo biden the same is true of the us trumps popularity never fell below 36 despite complete exposure of his evil thats how polarised the us is and it has nukes too,0.179,0.722,0.099,-0.6997
people died during that delay from trump,0.541,0.459,0.0,-0.7096
30 in trumps circle took the 5th and they want voted back in power trump before ny ag james took the 5th 400 times you do know what trump said about those that take the 5th his words they are guilty as hellput his fat bloated ass in jail #bluewave2022,0.115,0.861,0.024,-0.7184
well kevin i guess these people care more about the election than you do said donald trump when qevin mccarthy called him to beg him to tell the crowd to stop attacking his window on january 6th because hes a sniveling cowardly rat bastard traitor #neverforgetjanuary6th,0.207,0.696,0.097,-0.7184
how can you be outraged over the #blacklivesmatter organizations alleged misappropriation of funds but turn a blind eye and deaf ear to the atrocities black people face daily and some of you see nothing wrong w trump raising 100s of millions of dollars based off of lies,0.176,0.762,0.062,-0.7326
this ad on immigration from citizens for sanity is no different than trumps racist comments about mexicans it ran during the phillies game and was absolute horsesht,0.199,0.801,0.0,-0.7351
clearly you didnt watch the hearings yesterday or do any fact checking you are nothing more than a liar a cheat and a traitor people could have died elected officials because of trump who did nothing except it and watch the violence and binge eating you are trash,0.194,0.707,0.099,-0.7473
there are only three things certain in life death taxes and that donald trump is a piece of shit,0.305,0.61,0.085,-0.7506
i dont care who you are or what you pretend to believe there isnt one person in the world who wouldve wanted the job of cleaning up after trumps 4year siege on america this is service to country time trump was a criminal gremlin occupying the oval he boobytrapped america,0.142,0.858,0.0,-0.7527
right or left i dont care yall need to stop talking about trump its cringe and embarrassing,0.364,0.636,0.0,-0.7527
mike pence was an integral part of trumps plans for january 6 he was in on the planning probably from the start at no point did he blow the whistle and try to stop it the fact that he didnt ultimately do the wrong thing doesnt mean he did the right thing,0.135,0.865,0.0,-0.7579
its really weird that trump is super cool with roger lets skip to the violence stone calling his daughter an abortionist bitch guess trump doesnt really care what you call ivanka,0.29,0.569,0.141,-0.7606
i oppose cruelty to dumb animals but nancy pelosis threat to punch out trump was well put,0.386,0.503,0.111,-0.7615
nato stops sending miliitary aid to ukraine oust zelensky let merkel trump talk to putin russia pulls out of ukraine no world war gas flows again to europe opec increases production of oil lets go back to our normal lives,0.172,0.828,0.0,-0.7717
the rw yapping about alpha males all the while clutching their pearls over pelosi threatening to punch trump in the face and opening a slimjim with her teeth is a metaphor for ah fuck it you figure it out,0.165,0.835,0.0,-0.7845
george w bush dick cheney and bill clinton committed zero war crimes its just the fact that leftist mudslinging efforts continued for so long that it eventually stuck and then trump came along and reinforced the narrative those 3 pushed american prosperity forward the most,0.183,0.775,0.042,-0.7964
the people who warned us that trump would destroy the economy engineer a stock market collapse and take us one step closer to nuclear holocaust seem completely unbothered by the fact that biden has already done all of those things and hes not even halfway through his presidency,0.167,0.833,0.0,-0.8316
trump is so arrogant corrupt evil trump has found much success acting this way many americans are greedy looking for ways to make money cutting corners is one way to do so breaking the law often occurs when they do so,0.241,0.689,0.071,-0.8351
if i were trump id tell the j6 witch hunters exactly where to shove their subpoena pelosi had been made untouchable yet i believe she is the mastermind behind all of it this is nothing but a joke when they arrest hunter joe schiff pelosi et al then maybe but no way now,0.178,0.822,0.0,-0.8394
if you think trumps four years in our white house was an absolute failure another four years would be a horror showespecially if he finds a way to circumvent election norms please help us keep this amoral grifter from abusing office again vote for democracy,0.236,0.673,0.091,-0.8402
raskin now on msnbc all in referring to the complete lack of evidence for election fraud trumps own reference to it in his 14 page letter of nonsense im sorry your feelings mr snowflakecannot dictate our elections #trumpforprison,0.229,0.771,0.0,-0.8442
the guardian doj contends chiefly that the special master review should be shut down because cannon misapplied the fourpart richey test and trumps failure to show he suffered callous disregard alone was grounds to deny an intervention,0.278,0.664,0.058,-0.8519
if republicans are able to win back control of the house senate enact their radically extreme rightwing fascist agenda america will be in for an unadulterated hellish nightmare that will be as horrific as trumps four years in office,0.239,0.686,0.075,-0.8555
i knew trump was bad in the eighties msm gave him a pass for ratings when you elevate a moron for ratings youre the problem,0.331,0.669,0.0,-0.8555
you know its pretty bad when it makes you sick to your stomach when people mention how much they like trump i shouldnt let it bother me its not worth it i just cannot understand it all the bad hes done and still is am i the only one that is affected this badly,0.257,0.628,0.116,-0.8575
